date,max_temp,min_temp,avg_temp
2025-11-22,0.7,-2.1,-0.7000000000000001
2025-11-23,7.4,-0.6,3.4000000000000004
2025-11-24,10.6,7.0,8.8
2025-11-25,8.6,5.6,7.1
2025-11-26,8.6,4.1,6.35
2025-11-27,7.6,3.3,5.449999999999999
2025-11-28,11.0,7.7,9.35
2025-11-29,12.4,7.2,9.8
